registry,registry_lab,notes,CI5_continent,ethnic_group,selection
12001,"Algeria, Sétif (2008-2011)",*,1,99,1
12003,"Algeria, Batna (2008-2012)",*,1,99,1
404002,"Kenya, Nairobi (2008-2012)",*,1,99,1
690000,Seychelles (2009-2012),,1,99,1
710001,"South Africa, Eastern Cape (2008-2012)",*,1,99,1
800002,"Uganda, Kyadondo County (2008-2012)",*,1,99,1
716002,"Zimbabwe, Harare: African (2010-2012)",*,1,70,1
32011,"Argentina, Chaco (2008-2012)",,2,99,1
32005,"Argentina, Entre Rios Province (2008-2011)",,2,99,1
32006,"Argentina, Córdoba (2008-2012)",,2,99,1
32007,"Argentina, Mendoza (2008-2012)",,2,99,1
32008,"Argentina, Tierra del Fuego (2008-2012)",,2,99,1
76011,"Brazil, Aracaju (2008-2012)",,2,99,1
76012,"Brazil, Curitiba (2008-2011)",,2,99,1
76005,"Brazil, Florianopolis (2008-2010)",,2,99,1
76002,"Brazil, Goiânia (2008-2012)",*,2,99,1
76017,"Brazil, Jau (2008-2012)",,2,99,1
76020,"Brazil, Pocos de Caldas (2008-2011)",,2,99,1
152003,"Chile, Region of Antofagasta (2008-2010)",*,2,99,1
152002,"Chile, Bío Bío Province (2008-2012)",,2,99,1
152005,"Chile, Concepcion (2008-2010)",,2,99,1
152001,"Chile, Valdivia (2008-2012)",*,2,99,1
170001,"Colombia, Cali (2008-2012)",,2,99,1
170002,"Colombia, Bucaramanga (2008-2012)",,2,99,1
170003,"Colombia, Manizales (2008-2012)",*,2,99,1
170004,"Colombia, Pasto (2008-2012)",,2,99,1
188000,Costa Rica (2008-2011),,2,99,1
218002,"Ecuador, Cuenca (2008-2012)",,2,99,1
218003,"Ecuador, Guayaquil (2008-2012)",,2,99,1
218004,"Ecuador, Loja (2008-2010)",*,2,99,1
218005,"Ecuador, Manabi (2008-2012)",*,2,99,1
218001,"Ecuador, Quito (2008-2012)",,2,99,1
250091,"France, Martinique (2008-2012)",*,2,99,1
250094,French Guiana (2008-2012),*,2,99,1
388001,"Jamaica, Kingston and St Andrew (2008-2011)",*,2,99,1
604002,"Peru, Lima (2010-2012)",*,2,99,1
630000,"USA, Puerto Rico (2008-2012)",,2,99,1
858000,Uruguay (2008-2012),,2,99,1
124001,"Canada, Alberta (2008-2012)",*,3,99,1
124002,"Canada, British Columbia (2008-2012)",,3,99,1
124003,"Canada, Manitoba (2008-2012)",,3,99,1
124005,"Canada, New Brunswick (2008-2012)",*,3,99,1
124008,"Canada, Newfoundland and Labrador (2008-2012)",*,3,99,1
124004,"Canada, Northwest Territories (2008-2012)",*,3,99,1
124006,"Canada, Nova Scotia (2008-2012)",*,3,99,1
124013,"Canada, Nunavut (2008-2012)",*,3,99,1
124010,"Canada, Ontario (2008-2012)",*,3,99,1
124007,"Canada, Prince Edward Island (2008-2012)",*,3,99,1
124012,"Canada, Saskatchewan (2008-2012)",,3,99,1
124009,"Canada, Yukon (2008-2012)",*,3,99,1
840000,USA (2008-2012),,3,99,1
840000,USA: White (2008-2012),,3,10,1
840000,USA: Black (2008-2012),,3,30,1
840080,"USA, NPCR (2008-2012)",,3,99,0
840080,"USA, NPCR: White (2008-2012)",,3,10,0
840080,"USA, NPCR: Black (2008-2012)",,3,30,0
840080,"USA, NPCR: Asian and Pacific Islander (2008-2012)",,3,29,0
840080,"USA, NPCR: American Indian/Alaska Natives (2008-2012)",,3,42,0
840024,"USA, SEER (18 registries) (2008-2012)",,3,99,0
840024,"USA, SEER (18 registries): White (2008-2012)",*,3,10,0
840024,"USA, SEER (18 registries): Non-Hispanic White (2008-2012)",*,3,60,0
840024,"USA, SEER (18 registries): Hispanic White (2008-2012)",*,3,50,0
840024,"USA, SEER (18 registries): Black (2008-2012)",*,3,30,0
840024,"USA, SEER (18 registries): Asian and Pacific Islander (2008-2012)",*,3,29,0
840020,"USA, SEER (9 registries) (2008-2012)",,3,99,0
840020,"USA, SEER (9 registries): White (2008-2012)",*,3,10,0
840020,"USA, SEER (9 registries): Black (2008-2012)",*,3,30,0
840051,"USA, Alabama (2008-2012)",,3,99,0
840051,"USA, Alabama: White (2008-2012)",,3,10,0
840051,"USA, Alabama: Black (2008-2012)",,3,30,0
840050,"USA, Alaska (2008-2012)",,3,99,0
840050,"USA, Alaska: Alaska Natives (2008-2012)",,3,42,0
840052,"USA, Arizona (2008-2012)",,3,99,0
840052,"USA, Arizona: White (2008-2012)",,3,10,0
840052,"USA, Arizona: Black (2008-2012)",,3,30,0
840052,"USA, Arizona: American Indian (2008-2012)",,3,42,0
840040,"USA, Arkansas (2008-2012)",,3,99,0
840040,"USA, Arkansas: White (2008-2012)",,3,10,0
840040,"USA, Arkansas: Black (2008-2012)",,3,30,0
840025,"USA, California (2008-2012)",,3,99,0
840025,"USA, California: White (2008-2012)",,3,10,0
840025,"USA, California: Black (2008-2012)",,3,30,0
840025,"USA, California: American Indian (2008-2012)",,3,42,0
840003,"USA, California, Los Angeles County (2008-2012)",,3,99,0
840003,"USA, California, Los Angeles County: White (2008-2012)",*,3,10,0
840003,"USA, California, Los Angeles County: Non-Hispanic White (2008-2012)",*,3,60,0
840003,"USA, California, Los Angeles County: Hispanic White (2008-2012)",*,3,50,0
840003,"USA, California, Los Angeles County: Black (2008-2012)",*,3,30,0
840003,"USA, California, Los Angeles County: Chinese (2008-2012)",*,3,20,0
840003,"USA, California, Los Angeles County: Filipino (2008-2012)",*,3,23,0
840003,"USA, California, Los Angeles County: Korean (2008-2012)",*,3,22,0
840002,"USA, California, San Francisco Bay Area (2008-2012)",,3,99,0
840002,"USA, California, San Francisco Bay Area: White (2008-2012)",*,3,10,0
840002,"USA, California, San Francisco Bay Area: Non-Hispanic White (2008-2012)",*,3,60,0
840002,"USA, California, San Francisco Bay Area: Hispanic White (2008-2012)",*,3,50,0
840002,"USA, California, San Francisco Bay Area: Black (2008-2012)",*,3,30,0
840002,"USA, California, San Francisco Bay Area: Chinese (2008-2012)",*,3,20,0
840002,"USA, California, San Francisco Bay Area: Filipino (2008-2012)",*,3,23,0
840002,"USA, California, San Francisco Bay Area: Japanese (2008-2012)",*,3,21,0
840053,"USA, Colorado (2008-2012)",,3,99,0
840053,"USA, Colorado: White (2008-2012)",,3,10,0
