"","registry","registry_lab","ethnic_group","CI5_continent","continent_lab"
"1",12001,"Algeria, Sétif (2008-2011)",99,1,"Africa"
"2",12003,"Algeria, Batna (2008-2012)",99,1,"Africa"
"3",404002,"Kenya, Nairobi (2008-2012)",99,1,"Africa"
"4",690000,"Seychelles (2009-2012)",99,1,"Africa"
"5",710001,"South Africa, Eastern Cape (2008-2012)",99,1,"Africa"
"6",716002,"Zimbabwe, Harare: African (2010-2012)",70,1,"Africa"
"7",800002,"Uganda, Kyadondo County (2008-2012)",99,1,"Africa"
"8",32005,"Argentina, Entre Rios Province (2008-2011)",99,2,"South America"
"9",32006,"Argentina, Córdoba (2008-2012)",99,2,"South America"
"10",32007,"Argentina, Mendoza (2008-2012)",99,2,"South America"
"11",32008,"Argentina, Tierra del Fuego (2008-2012)",99,2,"South America"
"12",32011,"Argentina, Chaco (2008-2012)",99,2,"South America"
"13",76002,"Brazil, Goiânia (2008-2012)",99,2,"South America"
"14",76005,"Brazil, Florianopolis (2008-2010)",99,2,"South America"
"15",76011,"Brazil, Aracaju (2008-2012)",99,2,"South America"
"16",76012,"Brazil, Curitiba (2008-2011)",99,2,"South America"
"17",76017,"Brazil, Jau (2008-2012)",99,2,"South America"
"18",76020,"Brazil, Pocos de Caldas (2008-2011)",99,2,"South America"
"19",152001,"Chile, Valdivia (2008-2012)",99,2,"South America"
"20",152002,"Chile, Bío Bío Province (2008-2012)",99,2,"South America"
"21",152003,"Chile, Region of Antofagasta (2008-2010)",99,2,"South America"
"22",152005,"Chile, Concepcion (2008-2010)",99,2,"South America"
"23",170001,"Colombia, Cali (2008-2012)",99,2,"South America"
"24",170002,"Colombia, Bucaramanga (2008-2012)",99,2,"South America"
"25",170003,"Colombia, Manizales (2008-2012)",99,2,"South America"
"26",170004,"Colombia, Pasto (2008-2012)",99,2,"South America"
"27",188000,"Costa Rica (2008-2011)",99,2,"South America"
"28",218001,"Ecuador, Quito (2008-2012)",99,2,"South America"
"29",218002,"Ecuador, Cuenca (2008-2012)",99,2,"South America"
"30",218003,"Ecuador, Guayaquil (2008-2012)",99,2,"South America"
"31",218004,"Ecuador, Loja (2008-2010)",99,2,"South America"
"32",218005,"Ecuador, Manabi (2008-2012)",99,2,"South America"
"33",250091,"France, Martinique (2008-2012)",99,2,"South America"
"34",250094,"French Guiana (2008-2012)",99,2,"South America"
"35",388001,"Jamaica, Kingston and St Andrew (2008-2011)",99,2,"South America"
"36",604002,"Peru, Lima (2010-2012)",99,2,"South America"
"37",630000,"USA, Puerto Rico (2008-2012)",99,2,"South America"
"38",858000,"Uruguay (2008-2012)",99,2,"South America"
"39",124001,"Canada, Alberta (2008-2012)",99,3,"North America"
"40",124002,"Canada, British Columbia (2008-2012)",99,3,"North America"
"41",124003,"Canada, Manitoba (2008-2012)",99,3,"North America"
"42",124004,"Canada, Northwest Territories (2008-2012)",99,3,"North America"
"43",124005,"Canada, New Brunswick (2008-2012)",99,3,"North America"
"44",124006,"Canada, Nova Scotia (2008-2012)",99,3,"North America"
"45",124007,"Canada, Prince Edward Island (2008-2012)",99,3,"North America"
"46",124008,"Canada, Newfoundland and Labrador (2008-2012)",99,3,"North America"
"47",124009,"Canada, Yukon (2008-2012)",99,3,"North America"
"48",124010,"Canada, Ontario (2008-2012)",99,3,"North America"
"49",124012,"Canada, Saskatchewan (2008-2012)",99,3,"North America"
"50",124013,"Canada, Nunavut (2008-2012)",99,3,"North America"
"51",840000,"USA: White (2008-2012)",10,3,"North America"
"52",840000,"USA: Black (2008-2012)",30,3,"North America"
"53",840000,"USA (2008-2012)",99,3,"North America"
